Character
Eddard Stark
Robb Stark
Sansa Stark
Arya Stark
Bran Stark
Rickon Stark
Maester Luwin
Jeor Mormont
Ser Alliser Thorne
Maester Aemon
Samwell Tarly
Viserys Targaryen
Khal Drogo
Jorah Mormont
Robert Baratheon
Barristan Selmy
Grand Maester Pycelle
Tywin Lannister
Renly Baratheon
Bronn
Sandor Clegane
Joffrey Baratheon
Tommen Baratheon
Gendry
Hodor
Balon Greyjoy
Janos Slynt
Gregor Clegane
Petyr Baelish
Loras Tyrell
Margaery Tyrell
Brienne Tarth
Podrick Payne
Qyburn
Talisa Maegyr
Brynden Tully
Roose Bolton
Ramsay Bolton
Locke
Thoros of Myr
Beric Dondarrion
Syrio Forel
Daenerys Targaryen
Jaqen H'ghar
Jojen Reed
Meera Reed
Rodrik Cassel
Tyrion Lannister
Shae
Jon Snow
Olenna Tyrell
Oberyn Martell
Ellaria Sand
Meryn Trant
Grey Worm
Missandei
Drogon
Daario Naharis
Shireen Baratheon
Melisandre
Davos Seaworth
Yara Greyjoy
Lysa Arryn
Robin Arryn
Gilly
Craster
Ygritte
Mance Rayder
Tormund Giantsbane
Mirri Maz Duur
Hot Pie
Lancel Lannister
Doran Martell
Osha
High Sparrow
Catelyn Stark
Theon Greyjoy
Cersei Lannister
Jaime Lannister
Stannis Baratheon
Varys
